"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"25",721.709027777778,1760,1496,12665.527334746,6000,5,4.54689609063533,17.5493541680428,"SEQ","AUDUSD","15 mins/15 mins","40/25/2/60/2/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",721.709027777778,1550,1335,17072.8379937964,6000,5,7.67572442745171,23.6561236408052,"SEQ","AUDUSD","15 mins/30 mins","40/25/2/60/3/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",721.709027777778,1577,1312,12465.7023331807,6000,5,4.84964936784502,17.2724766538725,"SEQ","AUDUSD","15 mins/1 hour","20/25/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"30",721.709027777778,1459,1279,12691.4722787938,6000,4,7.93448046684177,17.5853034814768,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/10/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",721.709027777778,1407,1237,12926.5634570799,6000,4,7.98556096649919,17.9110458086996,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/20/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"15",721.709027777778,1424,1233,13164.409786511,6000,4,7.49766602342731,18.2406056732389,"SEQ","AUDUSD","1 hour/1 hour","40/25/4/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"40",721.709027777778,1377,1207,12237.9535684829,6000,4,7.85784642438974,16.9569079746236,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/1.5/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",721.709027777778,1371,1201,11727.2971706863,6000,4,7.49766602342731,16.2493424902775,"SEQ","AUDUSD","30 mins/1 hour","40/25/3/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",721.709027777778,1346,1188,10159.134746702,6000,4,7.39706469456877,14.076496698376,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/10/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",721.709027777778,1317,1159,11031.2988558786,6000,4,7.39706469456877,15.2849672531397,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/20/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",721.709027777778,1327,1156,11358.8438105943,6000,4,7.34104172568099,15.7388135292826,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/40/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"11",721.709027777778,1306,1144,11300.8145039957,6000,4,7.39475907370246,15.6584081243824,"SEQ","AUDUSD","15 mins/1 hour","40/30/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"19",721.709027777778,1298,1137,10506.2126640872,6000,4,7.33995664923736,14.5574078468119,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/50/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"54",721.709027777778,1292,1133,11596.3117480932,6000,4,7.39706469456877,16.0678490939756,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/30/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"9",721.709027777778,1289,1129,11208.5740308905,6000,4,7.39706469456877,15.5305997285402,"SEQ","AUDUSD","15 mins/1 hour","40/20/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",721.709027777778,1287,1128,11165.3913430577,6000,4,7.39706469456877,15.4707657980075,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"53",721.709027777778,1287,1128,11165.3913430577,6000,4,7.39706469456877,15.4707657980075,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",721.709027777778,1281,1122,13357.1061799054,6000,4,9.66077239488649,18.5076057882128,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/70/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",721.709027777778,1265,1107,11019.777957205,6000,4,7.39706469456877,15.2690038963987,"SEQ","AUDUSD","15 mins/1 hour","40/25/2/60/4/30/2/40/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
