"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"28",25.84375,29,28,162.575599999999,44.1901399999989,1.26019521326381,2,10,6.29071245465533,"SEQ","AUDCAD","15 mins/2 hours","40/25/2/60/5/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1",25.84375,32,27,186.313210000003,60.9423900000001,1.1634108940596,2,10,7.20921731559868,"SEQ","AUDCAD","15 mins/1 hour","10/25/2/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"35",25.84375,24,23,131.096990000002,78.7235800000019,1.60076996260814,2,10,5.07267675937129,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/60/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"25",25.84375,25,21,140.033840000002,144.19645,1.33119575432583,3,10,5.41847990326488,"SEQ","AUDCAD","15 mins/15 mins","40/25/2/60/2/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"34",25.84375,23,21,133.59011,78.7235800000019,1.60076996260814,2,10,5.16914573155986,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/50/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",25.84375,22,21,121.921570000002,78.7235800000019,1.60076996260814,2,10,4.71764237001216,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/70/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"15",25.84375,23,20,212.143909999999,77.0327600000021,1.56701304737559,2,10,8.20871235792017,"SEQ","AUDCAD","1 hour/1 hour","40/25/4/60/4/30/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"30",25.84375,22,20,128.568899999999,84.3410800000027,1.66604019722732,2,10,4.97485465538087,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/10/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",25.84375,22,20,129.268410000006,80.855360000002,1.64320546703084,2,10,5.00192154776321,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/30/2.5/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",25.84375,21,19,124.297199999999,81.494740000002,1.65625518270772,2,10,4.80956517533247,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/20/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"33",25.84375,21,19,113.249609999999,74.4521200000012,1.64320546703084,2,10,4.38208889963722,"SEQ","AUDCAD","15 mins/1 hour","40/25/2/60/4/40/2/30/1","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
