"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"16",24.8736111111111,115,102,324.884576683729,108.930654264899,1.20563315777421,2,50,13.0614157804615,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"18",24.8736111111111,87,81,146.45378090907,176.359406774141,1.11365682955466,3,50,5.88791793257749,"SEQ","AUDCAD","30 mins","40/10/3/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"17",24.8736111111111,89,78,192.078979375554,130.159128877887,1.14162787256564,3,50,7.72219918199782,"SEQ","AUDCAD","15 mins","40/10/2/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"6",24.8736111111111,73,67,145.937745111122,176.359406774141,1.11365682955466,3,50,5.8671716165061,"SEQ","AUDCAD","2 hours","40/3/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"35",24.8736111111111,54,51,81.7977904565037,176.359406774141,1.11365682955466,3,50,3.28853699975893,"SEQ","AUDCAD","2 hours","40/10/5/-0.9/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"19",24.8736111111111,53,48,131.255339857095,131.229937196681,1.14671317352302,2,50,5.27689121096144,"SEQ","AUDCAD","1 hour","40/10/4/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"34",24.8736111111111,45,42,63.4875207795158,176.359406774141,1.11365682955466,3,50,2.55240465471279,"SEQ","AUDCAD","2 hours","40/10/5/-0.95/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"1",24.8736111111111,61,41,114.034450496043,79.1335031950533,0.50821267097808,4,50,4.58455549484343,"SEQ","AUDCAD","2 hours","10/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"33",24.8736111111111,44,41,61.3714358112531,176.359406774141,1.11365682955466,3,50,2.46733116221466,"SEQ","AUDCAD","2 hours","40/10/5/-1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"7",24.8736111111111,43,40,76.9672920389323,128.770013263402,1.13544386050913,2,50,3.09433526539903,"SEQ","AUDCAD","2 hours","40/6/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"31",24.8736111111111,38,35,60.8306471520409,173.266715075705,1.10238374810475,3,50,2.44558970067952,"SEQ","AUDCAD","2 hours","40/10/5/-1.1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"32",24.8736111111111,38,35,59.3758888808511,177.902401656026,1.11929240659266,3,50,2.38710369055853,"SEQ","AUDCAD","2 hours","40/10/5/-1.05/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"2",24.8736111111111,40,34,63.3164426931933,55.6202798828216,0.734848051279127,2,50,2.54552675967944,"SEQ","AUDCAD","2 hours","20/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"30",24.8736111111111,34,31,81.0714184556007,137.849001935695,1.10238374810475,3,50,3.259334484786,"SEQ","AUDCAD","2 hours","40/10/5/-1.15/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"43",24.8736111111111,33,31,56.2990604388838,122.125416262474,1.1050038772066,2,50,2.26340518822918,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"3",24.8736111111111,35,30,61.1949585839618,177.420031740454,0.879213611275828,3,50,2.46023620416844,"SEQ","AUDCAD","2 hours","30/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"45",24.8736111111111,32,30,60.8602136403965,122.125416262474,1.1050038772066,2,50,2.44677836959548,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"4",24.8736111111111,31,29,57.6089227454927,122.125416262474,1.1050038772066,2,50,2.31606590969651,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"5",24.8736111111111,30,29,54.2471739607486,119.992257428553,1.1050038772066,2,50,2.18091268366402,"SEQ","AUDCAD","2 hours","50/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"8",24.8736111111111,31,29,57.6089227454927,122.125416262474,1.1050038772066,2,50,2.31606590969651,"SEQ","AUDCAD","2 hours","40/9/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"47",24.8736111111111,31,29,84.1538315619412,122.125416262474,1.1050038772066,2,50,3.38325750877199,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/3","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"37",24.8736111111111,30,28,63.6077939978352,122.125416262474,1.1050038772066,2,50,2.55724002894865,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"38",24.8736111111111,30,28,62.1654110454488,122.125416262474,1.1050038772066,2,50,2.49925154686041,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"46",24.8736111111111,30,28,69.054879321304,122.125416262474,1.1050038772066,2,50,2.77623056068675,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"28",24.8736111111111,29,27,55.7534143358034,122.125416262474,1.1050038772066,2,50,2.241468441665,"SEQ","AUDCAD","2 hours","40/10/5/-1.25/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"39",24.8736111111111,28,26,67.1250065817339,122.125416262474,1.1050038772066,2,50,2.6986434049276,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/60/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"40",24.8736111111111,27,25,57.3681271591017,122.125416262474,1.1050038772066,2,50,2.30638514459508,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/75/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
