"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",599.039583333333,1610,1329,5861.18801180782,1549.13915592904,5.05691990676621,3,50,9.78430837440401,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","10/60/1/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"2",599.039583333333,1279,1119,6335.62796867038,1549.13915592904,5.10662746290852,3,50,10.5763093874632,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","20/60/1/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"20",599.039583333333,1225,1104,7359.91787177359,2135.4881730078,5.10662746290852,3,50,12.2861962323418,"SEQ","AUDCAD","1 hour/EMA/1 hour/EMA","40/60/5/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"18",599.039583333333,1123,1033,7566.28037595867,1977.68808505358,5.10662746290852,3,50,12.6306851608309,"SEQ","AUDCAD","15 mins/EMA/1 hour/EMA","40/60/3/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"19",599.039583333333,1094,1003,7372.42674326664,2135.4881730078,5.10662746290852,3,50,12.3070777764685,"SEQ","AUDCAD","30 mins/EMA/1 hour/EMA","40/60/4/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"3",599.039583333333,1101,996,6024.51699162808,982.570577831103,5.10662746290852,3,50,10.0569597723491,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","30/60/1/5/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"40",599.039583333333,1072,985,5528.37143423487,1701.62508721907,4.32719571331027,3,50,9.22872475884224,"SEQ","AUDCAD","1 min/EMA/1 hour/Hull","40/60/1/5/120/5/8/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"52",599.039583333333,1053,978,6838.79361244046,1548.82700011143,5.10662746290852,3,50,11.4162633033134,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/60/1/5/120/5/5/15/30/10/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"42",599.039583333333,1017,923,4544.66904826444,1993.03805685456,3.6644080868176,3,50,7.58659222980859,"SEQ","AUDCAD","1 min/EMA/1 hour/Sine_WMA","40/60/1/5/120/5/15/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"34",599.039583333333,986,909,6099.09270358282,2059.6100787657,4.28137906856999,3,50,10.1814518994632,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/60/1/5/70/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"38",599.039583333333,982,891,5718.26570608955,1801.08598555152,4.28137906856999,3,50,9.5457226286625,"SEQ","AUDCAD","1 min/EMA/1 hour/Butterworth3Pole","40/60/1/5/120/5/3/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"53",599.039583333333,968,887,7179.80764287754,1548.82700011143,5.10662746290852,3,50,11.9855312447397,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/60/1/5/120/5/5/15/30/20/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
"25",599.039583333333,966,885,5668.09500217331,1808.43101685405,5.10662746290852,3,50,9.46197072759935,"SEQ","AUDCAD","1 min/Hull/1 hour/EMA","40/60/1/8/120/5/5/15/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/ADX_Len/ADX_Thres/ExitBB_Len/ExitBB_SDs"
