"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"12",24.8736111111111,72,66,188.754562906739,151.749920034088,1.25139486688985,2,50,7.58854683638686,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",24.8736111111111,65,63,120.230722633221,34.9855245773637,0.786969880412554,2,50,4.83366577117198,"SEQ","AUDCAD","15 mins","40/10/2/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",24.8736111111111,63,59,160.19854022605,34.9855245773637,0.871300678565317,2,50,6.4405019243261,"SEQ","AUDCAD","30 mins","40/10/3/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"6",24.8736111111111,37,35,103.069932443048,29.617789231311,0.871300678565317,2,50,4.14374623703136,"SEQ","AUDCAD","2 hours","40/5/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",24.8736111111111,36,33,69.7910813587037,75.0216028920475,1.09710896960712,3,50,2.80582827507212,"SEQ","AUDCAD","2 hours","40/10/5/-0.9/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"15",24.8736111111111,34,32,99.1889324768651,29.617789231311,0.871300678565317,2,50,3.98771742606192,"SEQ","AUDCAD","1 hour","40/10/4/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"30",24.8736111111111,35,32,69.1894901759351,75.0216028920475,1.09710896960712,3,50,2.78164235449625,"SEQ","AUDCAD","2 hours","40/10/5/-0.95/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"29",24.8736111111111,30,27,59.5020255572701,75.0216028920475,1.09710896960712,3,50,2.39217479486484,"SEQ","AUDCAD","2 hours","40/10/5/-1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"28",24.8736111111111,26,24,43.4042583982739,120.772217785302,1.09710896960712,2,50,1.7449922411501,"SEQ","AUDCAD","2 hours","40/10/5/-1.05/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"27",24.8736111111111,25,23,64.2391696286295,17.7505833331501,0.871300678565317,2,50,2.58262338112755,"SEQ","AUDCAD","2 hours","40/10/5/-1.1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",24.8736111111111,23,22,52.4967523660596,111.801621356384,1.07115968150396,2,50,2.11054004710274,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",24.8736111111111,22,21,41.7356038008463,111.21978127653,1.08470013915186,2,50,1.67790690360206,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",24.8736111111111,20,19,55.6964049191226,8.71022046893185,0.871300678565317,2,50,2.23917647784736,"SEQ","AUDCAD","2 hours","40/10/5/-1.15/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"32",24.8736111111111,20,19,32.5286617823317,90.549303784911,0.942340201946371,2,50,1.30775791408112,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",24.8736111111111,20,19,49.1973950724205,7.37015720695251,0.829454180357795,1,50,1.97789516177021,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"39",24.8736111111111,18,18,20.7311283035719,4.94120876607055,0.329413917738036,1,50,0.833458729050857,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/120/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"56",24.8736111111111,19,18,50.5301273880993,8.71022046893185,0.871300678565317,2,50,2.03147533192426,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"57",24.8736111111111,19,18,54.7545047492554,8.71022046893185,0.871300678565317,2,50,2.20130903006666,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1",24.8736111111111,23,17,25.5252734468577,155.23230453347,0.871300678565317,4,50,1.02619894364496,"SEQ","AUDCAD","2 hours","10/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",24.8736111111111,20,17,23.2025462694714,60.0439764563267,0.871300678565317,3,50,0.932817762801912,"SEQ","AUDCAD","2 hours","20/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",24.8736111111111,19,17,30.021418600059,118.739935630311,1.09710896960712,2,50,1.20695859020841,"SEQ","AUDCAD","2 hours","30/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",24.8736111111111,18,17,52.6974633520581,8.71022046893185,0.871300678565317,2,50,2.11860928100295,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"5",24.8736111111111,18,17,52.6974633520581,8.71022046893185,0.871300678565317,2,50,2.11860928100295,"SEQ","AUDCAD","2 hours","50/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"24",24.8736111111111,18,17,52.7998284729911,8.71022046893185,0.871300678565317,2,50,2.12272469152681,"SEQ","AUDCAD","2 hours","40/10/5/-1.25/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"33",24.8736111111111,18,17,46.2895748210317,116.268752036183,1.09823689072372,2,50,1.86099133793862,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/30/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"40",24.8736111111111,17,17,20.7102817038335,5.19945545857039,0.346630363904692,1,50,0.83262062799487,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/135/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"48",24.8736111111111,18,17,56.0789448081152,10.3868703572198,0.871300678565317,2,50,2.25455582454872,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"54",24.8736111111111,18,17,49.9769039747757,10.3868703572198,0.871300678565317,2,50,2.00923395286384,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"38",24.8736111111111,16,16,19.2507828239907,4.94120876607055,0.329413917738036,1,50,0.773944030000184,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/105/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",24.8736111111111,16,16,18.2888239984952,6.25057239673978,0.416704826449319,1,50,0.735270159077367,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/150/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"49",24.8736111111111,17,16,55.3406535324154,10.3868703572198,0.871300678565317,2,50,2.22487411599414,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"50",24.8736111111111,17,16,78.6974282534022,10.3868703572198,0.871300678565317,2,50,3.16389236375284,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/60/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"51",24.8736111111111,17,16,76.6246481180372,10.3868703572198,0.871300678565317,2,50,3.08055986626762,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/75/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"52",24.8736111111111,17,16,85.456994702545,10.3868703572198,0.871300678565317,2,50,3.43564890199522,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/90/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"53",24.8736111111111,17,16,94.5820326521939,10.3868703572198,0.871300678565317,2,50,3.80250508177897,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/105/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"58",24.8736111111111,17,16,72.9285054963664,10.3868703572198,0.871300678565317,2,50,2.93196292129007,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5/15/3","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"23",24.8736111111111,15,14,49.659326179707,8.71022046893185,0.871300678565317,2,50,1.99646629344961,"SEQ","AUDCAD","2 hours","40/10/5/-1.3/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"35",24.8736111111111,15,14,48.6165638807481,8.72134471336341,0.872431174873975,2,50,1.95454386030145,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/60/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"37",24.8736111111111,14,14,17.8508743800335,4.45757558373029,0.29717170558202,1,50,0.717663161182875,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/90/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"8",24.8736111111111,14,13,31.4744719157679,7.37015720695251,0.716178553479234,1,50,1.26537605557836,"SEQ","AUDCAD","2 hours","40/15/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"22",24.8736111111111,14,13,49.478056486,8.71022046893185,0.871300678565317,2,50,1.9891786626791,"SEQ","AUDCAD","2 hours","40/10/5/-1.35/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",24.8736111111111,13,12,46.8152994907609,8.71022046893185,0.871300678565317,2,50,1.88212717814216,"SEQ","AUDCAD","2 hours","40/10/5/-1.4/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",24.8736111111111,12,12,15.519656640708,6.69843760817878,0.446562507211919,1,50,0.623940632157562,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/75/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"17",24.8736111111111,13,11,62.9416010396794,4.34551758180563,0.742800897312652,2,50,2.53045690706177,"SEQ","AUDCAD","4 hours","40/10/6/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"9",24.8736111111111,10,10,13.3456062237847,7.37015720695251,0.491343813796834,1,50,0.536536740249314,"SEQ","AUDCAD","2 hours","40/20/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"19",24.8736111111111,11,10,42.4484592705296,8.29844497607764,0.829454180357795,2,50,1.70656601009444,"SEQ","AUDCAD","2 hours","40/10/5/-1.5/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"20",24.8736111111111,11,10,43.9788767149539,8.71022046893185,0.871300678565317,2,50,1.76809376485381,"SEQ","AUDCAD","2 hours","40/10/5/-1.45/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",24.8736111111111,11,10,45.9324752903972,8.72134471336341,0.872431174873975,2,50,1.84663477631839,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/3/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"10",24.8736111111111,9,9,10.8316546826643,7.37015720695251,0.491343813796834,1,50,0.435467718550354,"SEQ","AUDCAD","2 hours","40/25/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"11",24.8736111111111,9,9,10.8316546826643,7.37015720695251,0.491343813796834,1,50,0.435467718550354,"SEQ","AUDCAD","2 hours","40/30/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",24.8736111111111,3,3,4.66893616473953,1.08925045952749,0.0726166973018329,1,50,0.187706406757075,"SEQ","AUDCAD","1 day","40/10/7/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"110",24.8736111111111,112,85,203.944091571918,157.783501025272,1.02593883081688,4,50,8.19921525109058,"SEQ","AUDCAD","5 mins","10/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"211",24.8736111111111,93,84,259.448265032059,158.069237966295,1.28286852589641,2,50,10.4306633995802,"SEQ","AUDCAD","5 mins","40/10/1/-1.05/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"231",24.8736111111111,95,84,328.135099803313,158.069237966295,1.28286852589641,2,50,13.1920973732975,"SEQ","AUDCAD","5 mins","40/10/1/-0.95/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"241",24.8736111111111,95,83,302.563429625901,102.212130852319,1.28286852589641,3,50,12.1640331303059,"SEQ","AUDCAD","5 mins","40/10/1/-0.9/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"221",24.8736111111111,92,82,309.773364715759,158.069237966295,1.28286852589641,2,50,12.4538959514963,"SEQ","AUDCAD","5 mins","40/10/1/-1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"201",24.8736111111111,89,81,240.867280645919,158.069237966295,1.28286852589641,2,50,9.68364744346763,"SEQ","AUDCAD","5 mins","40/10/1/-1.1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"61",24.8736111111111,86,78,224.466406704496,158.069237966295,1.28286852589641,2,50,9.02427901207423,"SEQ","AUDCAD","5 mins","40/5/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"210",24.8736111111111,93,77,165.28156960713,78.3617272469346,1.02593883081688,3,50,6.64485622408473,"SEQ","AUDCAD","5 mins","20/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"251",24.8736111111111,83,76,216.015091108042,116.456571765038,1.08233297790619,2,50,8.68450866032668,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/15/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"191",24.8736111111111,81,74,209.532130429059,158.069237966295,1.28286852589641,2,50,8.42387257294783,"SEQ","AUDCAD","5 mins","40/10/1/-1.15/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"261",24.8736111111111,79,74,170.243859770122,40.799947820634,0.882608496821689,2,50,6.84435641490244,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/30/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"391",24.8736111111111,77,74,160.743215538024,20.1742591088829,0.922751225349199,2,50,6.46239964193295,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/3/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"171",24.8736111111111,76,71,171.518208781558,151.749920034088,1.25139486688985,2,50,6.89558938649404,"SEQ","AUDCAD","5 mins","40/10/1/-1.25/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"310",24.8736111111111,79,70,314.133329013953,128.464927936031,1.12614151351597,3,50,12.6291806851329,"SEQ","AUDCAD","5 mins","30/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"491",24.8736111111111,73,66,192.269146135845,151.749920034088,1.25139486688985,2,50,7.72984450375835,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"161",24.8736111111111,70,65,184.801458685656,48.8259862445451,1.02593883081688,2,50,7.42961920004871,"SEQ","AUDCAD","5 mins","40/10/1/-1.3/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"501",24.8736111111111,71,64,247.517312803682,170.695796777803,1.34575569358178,2,50,9.95100034723607,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"59",24.8736111111111,64,61,151.133314402028,151.749920034088,1.25139486688985,2,50,6.07605038636775,"SEQ","AUDCAD","5 mins","50/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"411",24.8736111111111,69,61,211.874607506605,153.615439352755,1.31202672096268,2,50,8.51804776395976,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"281",24.8736111111111,65,60,153.915420320103,151.749920034088,1.25139486688985,2,50,6.18790008545837,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/60/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"291",24.8736111111111,64,60,157.858351216929,130.355789628778,1.19626764494777,2,50,6.3464187211005,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/75/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"421",24.8736111111111,68,60,235.324595252148,153.615439352755,1.31202672096268,2,50,9.46081347822583,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"431",24.8736111111111,68,60,272.766040448633,153.615439352755,1.31202672096268,2,50,10.9660812509362,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/60/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"441",24.8736111111111,68,60,281.498437643346,153.615439352755,1.31202672096268,2,50,11.3171519963822,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/75/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"451",24.8736111111111,68,60,278.191099207922,153.615439352755,1.31202672096268,2,50,11.1841862432131,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/90/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"471",24.8736111111111,68,60,225.875193178718,153.615439352755,1.31202672096268,2,50,9.08091680655965,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"461",24.8736111111111,67,59,273.832062695092,153.615439352755,1.31202672096268,2,50,11.0089388095631,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/105/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"81",24.8736111111111,63,58,157.362026273269,151.749920034088,1.25139486688985,2,50,6.32646484542707,"SEQ","AUDCAD","5 mins","40/15/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
