"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"15",24.8736111111111,47,45,101.411269437748,57.2370732117116,1.32105684547638,2,50,4.07706259395716,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/0/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",24.8736111111111,42,41,57.1566179009785,57.2370732117116,0.785917823329358,2,50,2.29788178506363,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.1/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",24.8736111111111,34,33,45.5564861620226,57.2370732117116,0.785917823329358,2,50,1.83151879148229,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.2/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"12",24.8736111111111,19,19,20.3791913539485,7.53786022767419,0.502524015178279,1,50,0.819309719964427,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.3/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"7",24.8736111111111,11,11,10.1193148735706,2.89705121572687,0.193136747715125,1,50,0.406829343289454,"SEQ","AUDCAD","30 mins/Jurik/SMA/1 hour","40/3/-0.6/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"61",24.8736111111111,11,11,15.9511891743114,6.28330091947934,0.41888672796529,1,50,0.641289642386743,"SEQ","AUDCAD","15 mins/Jurik/Vida/1 hour","40/2/-0.6/4/300/9/21/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"11",24.8736111111111,10,10,11.4327510602711,5.19945545857039,0.346630363904692,1,50,0.459633746350729,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.4/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"8",24.8736111111111,9,9,9.1129790460509,7.53786022767419,0.502524015178279,1,50,0.366371372670537,"SEQ","AUDCAD","1 hour/Jurik/SMA/1 hour","40/4/-0.6/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"10",24.8736111111111,9,9,7.87145232914145,2.89705121572687,0.193136747715125,1,50,0.316457963983575,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.5/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"71",24.8736111111111,9,9,8.98803026234759,2.89705121572687,0.193136747715125,1,50,0.361348025511769,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.6/4/300/9/14/12/4/10/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
