"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",24.8736111111111,119,96,222.092506476008,123.460579341505,1.35585508730024,3,50,8.92884050827661,"SEQ","AUDCAD","1 min/1 hour","10/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",24.8736111111111,92,81,269.459813166911,236.70988690323,1.46643977203942,3,50,10.8331601697569,"SEQ","AUDCAD","1 min/5 mins","40/60/1/120/2/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",24.8736111111111,88,78,216.50545028441,57.0415166717925,1.38501950171138,2,50,8.70422269276762,"SEQ","AUDCAD","1 min/1 hour","20/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",24.8736111111111,80,73,196.618155078107,429.352721774647,1.59958301963284,3,50,7.90468879648427,"SEQ","AUDCAD","1 min/1 hour","30/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"60",24.8736111111111,79,73,209.10925266719,409.733625060074,1.38726220392756,3,50,8.4068715126683,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/1.5/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"64",24.8736111111111,78,72,269.674861366098,429.352721774647,1.49730392724076,3,50,10.8418058062198,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/2/20/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"30",24.8736111111111,76,70,215.393444650951,429.352721774647,1.38501950171138,3,50,8.65951645254814,"SEQ","AUDCAD","1 min/1 hour","40/95/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",24.8736111111111,76,70,209.692926282911,433.098611447274,1.35585508730024,3,50,8.43033708882104,"SEQ","AUDCAD","1 min/1 hour","40/100/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",24.8736111111111,77,70,223.415309953062,624.145879861269,1.59958301963284,3,50,8.98202150685157,"SEQ","AUDCAD","1 min/30 mins","40/60/1/120/4/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",24.8736111111111,74,69,228.476752798679,429.352721774647,1.59958301963284,3,50,9.18550795773348,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"24",24.8736111111111,75,69,214.42825879391,429.352721774647,1.38501950171138,3,50,8.62071284447013,"SEQ","AUDCAD","1 min/1 hour","40/65/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"25",24.8736111111111,74,69,235.171819416329,433.098611447274,1.59958301963284,3,50,9.45467139314069,"SEQ","AUDCAD","1 min/1 hour","40/70/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",24.8736111111111,75,69,208.112443126601,429.352721774647,1.35585508730024,3,50,8.3667965297422,"SEQ","AUDCAD","1 min/1 hour","40/75/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"29",24.8736111111111,75,69,214.098073553391,429.352721774647,1.38501950171138,3,50,8.60743832477756,"SEQ","AUDCAD","1 min/1 hour","40/90/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"45",24.8736111111111,76,69,262.437768603537,413.805043907035,1.59958301963284,3,50,10.5508511583308,"SEQ","AUDCAD","1 min/15 mins","40/60/1/120/3/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"27",24.8736111111111,74,68,207.919736447921,429.352721774647,1.38501950171138,3,50,8.35904909500826,"SEQ","AUDCAD","1 min/1 hour","40/80/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"51",24.8736111111111,73,68,236.174136610936,396.557823050318,1.42688651973821,3,50,9.49496780165692,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/20/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",24.8736111111111,72,67,230.471081802567,429.352721774647,1.59958301963284,3,50,9.26568646478576,"SEQ","AUDCAD","1 min/1 hour","40/50/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"28",24.8736111111111,73,67,213.490370113255,433.098611447274,1.38501950171138,3,50,8.58300667159216,"SEQ","AUDCAD","1 min/1 hour","40/85/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",24.8736111111111,73,67,247.833193626564,429.352721774647,1.59958301963284,3,50,9.96369978285366,"SEQ","AUDCAD","1 min/1 hour","40/60/1/110/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"74",24.8736111111111,73,67,253.052786823008,460.440048204309,1.49730392724076,3,50,10.1735443917899,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/2/30/2","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
