"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",24.8736111111111,283,226,485.406941893359,269.105471577673,1.05523176395592,3,50,19.5149365214818,"SEQ","AUDCAD","5 mins","10/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",24.8736111111111,226,190,400.330451733188,375.17869240374,1.23294257715907,3,50,16.0945851386395,"SEQ","AUDCAD","5 mins","20/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",24.8736111111111,136,121,392.648870886203,305.088403196265,1.301551005324,3,50,15.7857606252759,"SEQ","AUDCAD","5 mins","30/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"33",24.8736111111111,124,113,393.902679320083,158.800496752877,1.38501950171138,2,50,15.8361677988977,"SEQ","AUDCAD","5 mins","40/50/2/1/40/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"45",24.8736111111111,126,113,338.459555896882,504.931494105036,1.45743623716462,3,50,13.6071740602912,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/20/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",24.8736111111111,124,111,352.264515294424,504.931494105036,1.45743623716462,3,50,14.1621782909144,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/10/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"63",24.8736111111111,124,111,334.252520094645,504.931494105036,1.45743623716462,3,50,13.4380375491733,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/15/2","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",24.8736111111111,122,109,350.018046657029,504.931494105036,1.45743623716462,3,50,14.0718629512011,"SEQ","AUDCAD","5 mins","40/45/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"34",24.8736111111111,119,108,465.871538332882,158.800496752877,1.46643977203942,2,50,18.7295498129251,"SEQ","AUDCAD","5 mins","40/50/2/1/50/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"50",24.8736111111111,121,108,347.124139947089,504.931494105036,1.45743623716462,3,50,13.9555184969515,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/45/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",24.8736111111111,120,107,348.649511706026,504.931494105036,1.45743623716462,3,50,14.016843398757,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"17",24.8736111111111,120,107,341.698615261402,504.931494105036,1.45743623716462,3,50,13.7373947729192,"SEQ","AUDCAD","5 mins","40/40/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"31",24.8736111111111,120,107,348.649511706026,504.931494105036,1.45743623716462,3,50,14.016843398757,"SEQ","AUDCAD","5 mins","40/50/2/1/20/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",24.8736111111111,116,106,280.606783304006,142.490798831179,1.28062107276205,2,50,11.2813045942757,"SEQ","AUDCAD","5 mins","40/50/2/1/15/2/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"16",24.8736111111111,118,105,339.629083248566,504.931494105036,1.45743623716462,3,50,13.6541928605152,"SEQ","AUDCAD","5 mins","40/35/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"37",24.8736111111111,115,105,386.678694801578,173.051590550848,1.39847418507613,2,50,15.5457401450185,"SEQ","AUDCAD","5 mins","40/50/2/1/80/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",24.8736111111111,118,105,337.343348170071,504.931494105036,1.45743623716462,3,50,13.5622988822632,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/25/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",24.8736111111111,117,104,360.348939910253,250.500373831683,1.45743623716462,3,50,14.4871984329322,"SEQ","AUDCAD","5 mins","40/20/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
