"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",25.84375,67,48,102.231359999983,1196.02866,2.631698250068,5,5,3.95574790810093,"SEQ","AUDCAD","1 min/1 hour","10/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"25",25.84375,48,41,21.7890100000018,343.983920000001,2.67708321522116,3,5,0.843105586457143,"SEQ","AUDCAD","1 min/1 hour","40/70/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"29",25.84375,48,41,22.9381200000018,343.983920000001,2.67708321522116,3,5,0.887569334945658,"SEQ","AUDCAD","1 min/1 hour","40/90/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"46",25.84375,58,41,150.37378,94.4228100000003,2.02779882607073,2,5,5.81857431680773,"SEQ","AUDCAD","1 min/5 mins","40/60/1/120/2/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"52",25.84375,55,41,113.818799999996,375.918979999998,2.40653201547056,3,5,4.40411318016915,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/10/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",25.84375,49,39,75.4640500000013,342.397940000001,2.631698250068,3,5,2.92001160822254,"SEQ","AUDCAD","1 min/1 hour","20/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"19",25.84375,46,39,17.4393599999978,343.983920000001,2.69338504632623,3,5,0.674799903264728,"SEQ","AUDCAD","1 min/1 hour","40/40/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"47",25.84375,55,39,110.365399999999,235.59481,2.41232286447789,3,5,4.27048706166865,"SEQ","AUDCAD","1 min/15 mins","40/60/1/120/3/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"65",25.84375,45,39,6.75861000000145,343.983920000001,2.67708321522116,3,5,0.261518162031495,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/2/10/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",25.84375,47,38,11.3015300000009,342.397940000001,2.631698250068,3,5,0.437302249093141,"SEQ","AUDCAD","1 min/1 hour","30/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",25.84375,45,38,20.3554700000018,343.983920000001,2.67708321522116,3,5,0.787636082224978,"SEQ","AUDCAD","1 min/1 hour","40/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"7",25.84375,43,38,11.7364700000026,97.4844400000002,2.67708321522116,2,5,0.454131850060558,"SEQ","AUDCAD","1 min/1 hour","70/60/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",25.84375,45,38,25.6021699999933,341.117720000002,2.69338504632623,3,5,0.990652285368543,"SEQ","AUDCAD","1 min/1 hour","40/35/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"20",25.84375,45,38,18.1898899999978,343.983920000001,2.69338504632623,3,5,0.70384096735179,"SEQ","AUDCAD","1 min/1 hour","40/45/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",25.84375,46,38,24.1549600000019,343.983920000001,2.67708321522116,3,5,0.934653833131875,"SEQ","AUDCAD","1 min/1 hour","40/50/1/120/5/30/2/30/1.5","ReEntExt/BlaiFast_Len/BlaiFast_TF/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
