"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",25.84375,131,85,285.933549999994,213.998520000001,2.0355715563405,5,5,11.0639342200723,"SEQ","AUDCAD","5 mins","10/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"2",25.84375,101,71,232.947280000005,136.228379999999,2.0355715563405,4,5,9.01367951632427,"SEQ","AUDCAD","5 mins","20/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"3",25.84375,82,57,178.129789999996,234.513590000001,2.0355715563405,3,5,6.89256744860927,"SEQ","AUDCAD","5 mins","30/50/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"33",25.84375,79,57,169.313259999998,89.7219800000007,2.14216163583253,2,5,6.55141997581612,"SEQ","AUDCAD","5 mins","40/50/2/1/10/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",25.84375,70,54,222.853789999999,92.3273000000001,2.13869232946505,2,5,8.62312125755741,"SEQ","AUDCAD","5 mins","40/50/2/1/15/2/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"27",25.84375,76,53,130.569810000004,136.636539999997,2.0658912974612,3,5,5.0522780169288,"SEQ","AUDCAD","5 mins","40/50/2/0.5/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",25.84375,73,53,117.993729999998,92.8495600000002,2.00241963750664,2,5,4.56565823458274,"SEQ","AUDCAD","5 mins","40/50/2/1/40/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"37",25.84375,68,53,161.458210000004,95.5306600000003,2.07859510958735,2,5,6.24747608222506,"SEQ","AUDCAD","5 mins","40/50/2/1/50/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"66",25.84375,70,53,194.311349999997,91.9843800000004,2.0658912974612,2,5,7.51869794437717,"SEQ","AUDCAD","5 mins","40/50/2/1/15/1.5/15/2","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"35",25.84375,72,52,166.498289999999,90.4766000000003,2.00241963750664,2,5,6.44249731559851,"SEQ","AUDCAD","5 mins","40/50/2/1/30/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"38",25.84375,69,52,158.133959999998,92.8503100000004,2.09823449524672,2,5,6.11884730350658,"SEQ","AUDCAD","5 mins","40/50/2/1/60/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",25.84375,72,51,132.396409999998,90.9806800000003,2.0355715563405,2,5,5.12295661426838,"SEQ","AUDCAD","5 mins","40/10/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",25.84375,72,51,135.531179999996,90.9806800000003,2.0355715563405,2,5,5.24425363966128,"SEQ","AUDCAD","5 mins","40/15/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"16",25.84375,71,51,159.203169999996,90.9806800000003,2.0355715563405,2,5,6.16021939540492,"SEQ","AUDCAD","5 mins","40/25/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"17",25.84375,71,51,159.203169999996,90.9806800000003,2.0355715563405,2,5,6.16021939540492,"SEQ","AUDCAD","5 mins","40/30/2/1/15/1.5/15/1.5","ReEntExt/SuperT_Len/SuperT_TF/SuperT_Factor/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
