"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"7",599.039583333333,917,822,3604.93258168516,1272.8814178322,2.30375059208544,3,50,6.01785371448353,"SEQ","AUDCAD","4 hours/Jurik/SMA/1 hour","40/6/-0.6/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",599.039583333333,872,808,2694.11093517495,1335.71572976534,2.01858164561193,3,50,4.49738382926829,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.1/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"68",599.039583333333,850,774,2987.85143783486,1056.64811091947,2.30375059208544,3,50,4.98773623807808,"SEQ","AUDCAD","15 mins/Jurik/Vida/1 hour","40/2/-0.6/4/300/9/21/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"12",599.039583333333,728,679,2128.69536385899,1104.61493371912,2.01858164561193,3,50,3.5535136960632,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.2/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"11",599.039583333333,553,519,1569.55527307558,543.349452239789,2.01858164561193,3,50,2.62011946579865,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.3/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"10",599.039583333333,405,381,1373.13915496303,543.349452239789,2.01858164561193,3,50,2.29223442518146,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.4/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"6",599.039583333333,395,378,992.882792895163,543.349452239789,2.01858164561193,3,50,1.65745773821874,"SEQ","AUDCAD","30 mins/Jurik/SMA/1 hour","40/3/-0.6/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"65",599.039583333333,353,338,1071.04623909003,594.19296842448,2.78197110200561,2,50,1.78793900918906,"SEQ","AUDCAD","15 mins/Jurik/T3/1 hour","40/2/-0.6/4/300/9/18/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"22",599.039583333333,334,321,798.533774428153,543.349452239789,2.01858164561193,3,50,1.33302338717709,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.6/4/500/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"1",599.039583333333,379,306,851.009914756153,1991.21567381238,1.6118851165517,4,50,1.42062384261945,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","10/2/-0.6/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"9",599.039583333333,318,301,963.525293060949,543.349452239789,2.01858164561193,3,50,1.60845012561515,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.5/4/300/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"59",599.039583333333,310,293,941.140510895887,466.237745696228,2.07747265014512,3,50,1.57108234093471,"SEQ","AUDCAD","15 mins/Jurik/McGuinley/1 hour","40/2/-0.6/4/300/9/12/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"63",599.039583333333,309,292,943.889896337775,489.087909017093,2.12445466007609,3,50,1.57567199664092,"SEQ","AUDCAD","15 mins/Jurik/Smooth_MA/1 hour","40/2/-0.6/4/300/9/16/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"71",599.039583333333,309,292,943.889896337775,489.087909017093,2.12445466007609,3,50,1.57567199664092,"SEQ","AUDCAD","15 mins/Jurik/Wilders/1 hour","40/2/-0.6/4/300/9/24/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"53",599.039583333333,304,289,913.68500330156,489.087909017093,2.12445466007609,3,50,1.52524979771352,"SEQ","AUDCAD","15 mins/Jurik/EVWMA/1 hour","40/2/-0.6/4/300/9/6/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"21",599.039583333333,296,282,830.920701091401,543.349452239789,2.01858164561193,3,50,1.38708813943108,"SEQ","AUDCAD","15 mins/Jurik/SMA/1 hour","40/2/-0.6/4/400/9/14/12/4/30/2/30/1.5","ReEntExt/PPO_TF/PPO_Thres/PPOFast_Len/PPOSlow_Len/PPOFast_Type/PPOSlow_Type/BlaiSlow_Len/BlaiSlow_TF/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
