"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"12",599.039583333333,1031,943,3649.81391987149,1905.43320696777,2.48046875,3,50,6.09277587227581,"SEQ","AUDCAD","30 mins","40/10/3/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"29",599.039583333333,915,835,2609.48552268115,621.084684395416,1.65405537152543,3,50,4.35611534743793,"SEQ","AUDCAD","2 hours","40/10/5/-0.9/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"28",599.039583333333,863,793,2332.95218413405,621.084684395416,1.65405537152543,3,50,3.89448752476827,"SEQ","AUDCAD","2 hours","40/10/5/-0.95/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"27",599.039583333333,797,733,2188.99378175578,773.791206491452,2.05567928730513,3,50,3.65417218270487,"SEQ","AUDCAD","2 hours","40/10/5/-1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"6",599.039583333333,775,701,2842.82634886454,1905.43320696777,2.37106496985935,3,50,4.74564023473331,"SEQ","AUDCAD","2 hours","40/5/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",599.039583333333,704,648,2394.85982781569,427.723586725342,2.05567928730513,3,50,3.99783235439899,"SEQ","AUDCAD","2 hours","40/10/5/-1.05/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",599.039583333333,688,627,2445.68794614131,1905.43320696777,2.37106496985935,3,50,4.08268170282232,"SEQ","AUDCAD","1 hour","40/10/4/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"25",599.039583333333,612,564,2200.11171356649,427.723586725342,2.05567928730513,3,50,3.67273177729601,"SEQ","AUDCAD","2 hours","40/10/5/-1.1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",599.039583333333,552,512,1808.29584568079,437.99858447364,1.85906592217461,3,50,3.01865835913312,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",599.039583333333,553,510,1586.56428056314,1907.60821274688,2.56801192413159,3,50,2.64851326140214,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
