"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",24.8736111111111,92,66,139.231576773913,83.7155626840681,0.782365370338634,4,50,5.59756185589465,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","10/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"58",24.8736111111111,67,60,200.251020906918,66.9376948357242,1.10685885830832,2,50,8.05074180875431,"SEQ","AUDCAD","1 hour/EMA/1 min/Jurik","40/120/5/5/60/2.5/1/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"2",24.8736111111111,68,56,104.150138359151,60.2104460741619,1.03739666109419,2,50,4.18717402527157,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","20/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"21",24.8736111111111,60,55,128.965056686242,135.178670558214,1.28848671105801,2,50,5.18481438461635,"SEQ","AUDCAD","15 mins/EMA/5 mins/Jurik","40/120/3/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"13",24.8736111111111,53,48,120.420194558719,84.0877069443165,1.28848671105801,2,50,4.8412831583158,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/50/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"22",24.8736111111111,53,48,130.098373323695,60.2104460741619,1.28848671105801,2,50,5.23037739645209,"SEQ","AUDCAD","30 mins/EMA/5 mins/Jurik","40/120/4/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"34",24.8736111111111,54,48,142.999712158595,126.909593722269,1.19289050928564,2,50,5.74905314390463,"SEQ","AUDCAD","1 hour/Jurik/5 mins/Jurik","40/120/5/9/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"3",24.8736111111111,53,47,111.988074865399,63.7181077452586,1.03739666109419,2,50,4.50228454425635,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","30/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"14",24.8736111111111,50,46,99.5133459991885,60.2104460741619,1.17118047191346,2,50,4.00075990392628,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/60/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"33",24.8736111111111,49,45,121.498169480043,60.2104460741619,1.17118047191346,2,50,4.8846212533157,"SEQ","AUDCAD","1 hour/Hull/5 mins/Jurik","40/120/5/8/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"56",24.8736111111111,48,44,100.655237810304,60.8450816017978,0.932227623677437,2,50,4.04666766561053,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/60/2/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"16",24.8736111111111,46,43,87.8000537848884,60.2104460741619,1.11237910802182,2,50,3.52984749149141,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/80/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
