"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"96",24.8736111111111,45,43,78.7103369921376,20.0767666109122,1.10685885830832,2,50,3.16441133700034,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/1 min/Jurik","40/50/1/5/120/5/5/60/2.5/1/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"26",24.8736111111111,37,34,84.6412941797016,60.2104460741619,1.66799229980058,2,50,3.40285509014379,"SEQ","AUDCAD","1 hour/EMA/1 hour/EMA/5 mins/Jurik","40/50/5/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"25",24.8736111111111,34,32,68.4649340402009,60.2104460741619,1.66799229980058,2,50,2.75251284320423,"SEQ","AUDCAD","30 mins/EMA/1 hour/EMA/5 mins/Jurik","40/50/4/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"23",24.8736111111111,28,25,69.1371474610846,362.135559318876,2.10228982889953,3,50,2.77953800725786,"SEQ","AUDCAD","5 mins/EMA/1 hour/EMA/5 mins/Jurik","40/50/2/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"24",24.8736111111111,24,23,151.054620972114,37.9866477792515,2.10228982889953,2,50,6.07288665475025,"SEQ","AUDCAD","15 mins/EMA/1 hour/EMA/5 mins/Jurik","40/50/3/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"110",24.8736111111111,23,23,24.6336089336132,22.464284892682,1.49761899284547,1,50,0.990351132514463,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Sine_WMA","40/50/1/5/120/5/5/60/2.5/2/15/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"100",24.8736111111111,21,21,27.1504068181725,14.2085754816272,0.947238365441811,1,50,1.09153458646961,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Butterworth3Pole","40/50/1/5/120/5/5/60/2.5/2/3/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"114",24.8736111111111,21,21,22.7033542358358,22.464284892682,1.49761899284547,1,50,0.912748620794115,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/TRIMA","40/50/1/5/120/5/5/60/2.5/2/20/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"13",24.8736111111111,21,20,49.7205105659325,87.4393971572219,1.02404480340654,2,50,1.99892610461061,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Jurik","40/10/1/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"47",24.8736111111111,23,20,62.3682618203125,362.135559318876,2.10228982889953,3,50,2.50740680722681,"SEQ","AUDCAD","1 min/Vida/1 hour/EMA/5 mins/Jurik","40/50/1/21/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
