"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",25.84375,72,43,29.98057,125.40295,1.19179064552481,4,5,1.16007042321644,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","10/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"2",25.84375,54,33,59.6089599999972,108.634040000001,1.42963089737008,3,5,2.30651356710993,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","20/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"49",25.84375,45,32,18.5798799999975,30.90291,2.41927274783691,2,5,0.718931269649238,"SEQ","AUDCAD","1 hour/Zero_Lag/5 mins/Jurik","40/120/5/25/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"13",25.84375,38,31,62.1989999999987,145.943949999998,2.50738631861352,3,5,2.40673276904469,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/50/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"34",25.84375,43,31,83.9481399999988,30.90291,1.60838928772912,2,5,3.24829562273272,"SEQ","AUDCAD","1 hour/Hull/5 mins/Jurik","40/120/5/8/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"53",25.84375,41,31,72.7988499999979,99.8687100000007,1.59968139125818,2,5,2.81688415961298,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/40/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"99",25.84375,43,31,77.3091299999985,100.683540000001,1.60838928772912,2,5,2.99140527206766,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/60/2.5/2/9/15/2","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"14",25.84375,35,30,184.815760000003,160.498550000001,3.3190712533516,3,5,7.15127487303517,"SEQ","AUDCAD","1 hour/EMA/5 mins/Jurik","40/60/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"22",25.84375,34,30,134.947529999999,145.943949999998,3.3190712533516,3,5,5.2216698428053,"SEQ","AUDCAD","15 mins/EMA/5 mins/Jurik","40/120/3/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"30",25.84375,37,30,82.7295899999988,30.0348599999998,2.50738631861352,2,5,3.20114495767831,"SEQ","AUDCAD","1 hour/DEMA/5 mins/Jurik","40/120/5/4/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
