"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"26",25.84375,31,25,64.3458399999993,31.6042800000001,2.50738631861352,2,5,2.48980275695281,"SEQ","AUDCAD","1 hour/EMA/1 hour/EMA/5 mins/Jurik","40/50/5/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"13",25.84375,27,24,98.6819099999996,29.7558599999998,3.1448976569886,2,5,3.8184052237001,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Jurik","40/10/1/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"25",25.84375,29,24,50.70598,31.6042800000001,2.50738631861352,2,5,1.96202099153567,"SEQ","AUDCAD","30 mins/EMA/1 hour/EMA/5 mins/Jurik","40/50/4/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"24",25.84375,27,22,5.11151999999947,31.6042800000001,2.50738631861352,2,5,0.19778553808946,"SEQ","AUDCAD","15 mins/EMA/1 hour/EMA/5 mins/Jurik","40/50/3/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"45",25.84375,23,21,81.0625599999994,29.2209299999999,3.06506868804134,2,5,3.13664077388148,"SEQ","AUDCAD","1 min/TEMA/1 hour/EMA/5 mins/Jurik","40/50/1/19/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"34",25.84375,28,20,4.32493999999861,99.4067799999997,2.41579768825353,2,5,0.167349552599704,"SEQ","AUDCAD","1 min/Hull/1 hour/EMA/5 mins/Jurik","40/50/1/8/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"14",25.84375,24,19,-1.79888999999866,37.4305399999999,2.41927274783691,2,5,-0.0696063845223183,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Jurik","40/15/1/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"43",25.84375,21,19,68.1536199999987,28.7493599999998,3.05920378758564,2,5,2.63714128174118,"SEQ","AUDCAD","1 min/SuperSmooter/1 hour/EMA/5 mins/Jurik","40/50/1/17/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"28",25.84375,19,17,63.005629999999,28.7493599999998,3.05920378758564,2,5,2.43794457073757,"SEQ","AUDCAD","1 min/Butterworth2Pole/1 hour/EMA/5 mins/Jurik","40/50/1/2/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"35",25.84375,22,17,4.21172999999817,28.7493599999998,2.41579768825353,2,5,0.16296899637236,"SEQ","AUDCAD","1 min/Jurik/1 hour/EMA/5 mins/Jurik","40/50/1/9/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
