"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",599.572916666667,2136,1669,5158.26177504606,1564.509884416,4.6163887299981,4,50,8.60322678302996,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","10/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"2",599.572916666667,1649,1415,6157.27855853674,1379.34792174188,6.00961014226209,3,50,10.2694407758913,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","20/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"3",599.572916666667,1406,1267,6640.09693338539,1774.28915408142,6.00961014226209,3,50,11.0747112633124,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","30/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"32",599.572916666667,1292,1194,7266.23238959716,1379.34792174188,6.00961014226209,3,50,12.1190136972728,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/60/2.5/2/9/10/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"21",599.572916666667,1262,1157,5694.58985261895,2156.74524183758,4.75940047331055,3,50,9.49774363438245,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/50/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"12",599.572916666667,1260,1149,7383.24787943841,2116.99306563578,4.89327941853919,3,50,12.3141784330181,"SEQ","EURCAD","1 hour/ALMA/5 mins/Jurik","40/120/5/1/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"16",599.572916666667,1253,1146,7139.13351045236,1774.28915408142,6.00961014226209,3,50,11.9070313418132,"SEQ","EURCAD","1 hour/Regularized/5 mins/Jurik","40/120/5/13/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"6",599.572916666667,1245,1142,7353.27125044077,1774.28915408142,6.00961014226209,3,50,12.2641817968053,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","40/110/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"4",599.572916666667,1234,1134,7262.73369609111,1774.28915408142,6.00961014226209,3,50,12.1131783878237,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"33",599.572916666667,1234,1134,7262.73369609111,1774.28915408142,6.00961014226209,3,50,12.1131783878237,"SEQ","EURCAD","1 hour/EMA/5 mins/Jurik","40/120/5/5/60/2.5/2/9/20/1.5","ReEntExt/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
