"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"14",599.039583333333,610,565,4101.80380281639,1411.0747952724,5.13268353146657,2,50,6.84730010660073,"SEQ","AUDCAD","1 min/Hull/1 hour/EMA/5 mins/Jurik","40/50/1/8/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"59",599.039583333333,580,546,3132.9448842657,1049.60963736153,3.74739394970855,3,50,5.22994635318178,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/T3","40/50/1/5/120/5/5/60/2.5/2/18/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"19",599.039583333333,523,486,3074.07366953161,1521.70504215081,4.02405523795382,3,50,5.13167035210935,"SEQ","AUDCAD","1 min/TEMA/1 hour/EMA/5 mins/Jurik","40/50/1/19/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"20",599.039583333333,442,419,3094.99002446934,2688.23954803493,5.14927139331237,3,50,5.1665868342913,"SEQ","AUDCAD","1 min/TRIMA/1 hour/EMA/5 mins/Jurik","40/50/1/20/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"18",599.039583333333,443,418,2672.09246595231,1178.5048147378,4.38933175868516,3,50,4.46062754498384,"SEQ","AUDCAD","1 min/T3/1 hour/EMA/5 mins/Jurik","40/50/1/18/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"17",599.039583333333,438,415,3624.58277217086,2688.23954803493,5.14927139331237,3,50,6.05065653925907,"SEQ","AUDCAD","1 min/Sine_WMA/1 hour/EMA/5 mins/Jurik","40/50/1/15/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"57",599.039583333333,431,404,2754.15214966128,1325.08028492885,3.96891692862324,2,50,4.59761295628564,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Sine_WMA","40/50/1/5/120/5/5/60/2.5/2/15/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"53",599.039583333333,324,314,1391.3454693347,529.467546445871,3.69517809546886,3,50,2.32262693158373,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Butterworth3Pole","40/50/1/5/120/5/5/60/2.5/2/3/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"47",599.039583333333,299,281,1981.5793151134,1497.4070631007,5.15164151517542,3,50,3.30792717250331,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Jurik","40/50/1/5/120/5/5/60/2/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"15",599.039583333333,294,274,2939.01742653971,1507.5716423249,5.13268353146657,3,50,4.90621572982816,"SEQ","AUDCAD","1 min/LowPass/1 hour/EMA/5 mins/Jurik","40/50/1/11/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"10",599.039583333333,292,273,3287.20890126041,1529.4691366195,5.13268353146657,3,50,5.48746525725205,"SEQ","AUDCAD","1 min/DEMA/1 hour/EMA/5 mins/Jurik","40/50/1/4/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"12",599.039583333333,264,249,2954.09892154266,2157.8432912097,5.13268353146657,3,50,4.93139185411536,"SEQ","AUDCAD","1 min/EVWMA/1 hour/EMA/5 mins/Jurik","40/50/1/6/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"56",599.039583333333,257,245,1160.01548102708,445.120351177145,3.69517809546886,2,50,1.93645881391045,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Regularized","40/50/1/5/120/5/5/60/2.5/2/13/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"54",599.039583333333,253,241,1154.85347514625,831.906327758639,4.29913065549845,3,50,1.92784167737315,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/EMA","40/50/1/5/120/5/5/60/2.5/2/5/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
"6",599.039583333333,241,227,2570.67861623845,1537.50693680793,5.13268353146657,2,50,4.29133347404859,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA/5 mins/Jurik","40/30/1/5/120/5/5/60/2.5/2/9/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/Keltner_Len/Keltner_Mult/Keltner_TF/Keltner_Type/ExitBB_Len/ExitBB_SDs"
