"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"30",599.039583333333,1306,1167,4078.84967119584,1283.82617010607,1.9728060451121,3,50,6.80898188480173,"SEQ","AUDCAD","2 hours","40/10/5/-0.9/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"29",599.039583333333,1214,1081,3858.90134051977,1283.82617010607,1.95980553867523,3,50,6.44181360945643,"SEQ","AUDCAD","2 hours","40/10/5/-0.95/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"14",599.039583333333,1158,1034,4147.69405774006,1691.17307187338,2.29238512963025,4,50,6.9239064882163,"SEQ","AUDCAD","1 hour","40/10/4/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"1",599.039583333333,1396,997,2646.953724729,1667.94664580498,1.08845009467135,5,50,4.4186624696821,"SEQ","AUDCAD","2 hours","10/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"28",599.039583333333,1123,996,3440.80829883732,1245.5103615346,1.95980553867523,3,50,5.74387468636224,"SEQ","AUDCAD","2 hours","40/10/5/-1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"5",599.039583333333,1047,942,3356.09018625553,751.87311982429,1.66702749512882,3,50,5.60245145668119,"SEQ","AUDCAD","2 hours","40/6/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"27",599.039583333333,1035,924,3189.83032397553,1234.09039532358,1.70286924925678,3,50,5.32490742302176,"SEQ","AUDCAD","2 hours","40/10/5/-1.05/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"26",599.039583333333,946,852,3075.39942559443,796.661697158771,2.17119231199017,3,50,5.13388348810189,"SEQ","AUDCAD","2 hours","40/10/5/-1.1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"25",599.039583333333,863,782,2660.90922609045,709.450107688431,1.70734763146805,3,50,4.44195892913106,"SEQ","AUDCAD","2 hours","40/10/5/-1.15/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"2",599.039583333333,862,754,2114.07689416333,740.249780157082,1.45280933444241,3,50,3.52911051787201,"SEQ","AUDCAD","2 hours","30/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"3",599.039583333333,776,702,2538.7229130135,694.591913886664,1.66702749512882,3,50,4.2379885797978,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"6",599.039583333333,776,702,2538.7229130135,694.591913886664,1.66702749512882,3,50,4.2379885797978,"SEQ","AUDCAD","2 hours","40/9/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"38",599.039583333333,771,693,2792.25431727337,697.223098953658,1.66702749512882,3,50,4.66121838182374,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"4",599.039583333333,730,677,2612.54586243365,1546.93017836966,2.14225434401576,3,50,4.36122409122988,"SEQ","AUDCAD","2 hours","50/10/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"40",599.039583333333,750,675,2650.18081222877,694.591913886664,1.67262949205843,3,50,4.42404957195305,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"32",599.039583333333,723,646,2845.9488913967,690.197886356174,1.67262949205843,3,50,4.75085281603684,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"23",599.039583333333,706,642,2191.10727857502,1065.98477476582,2.14850464077002,3,50,3.65770032488118,"SEQ","AUDCAD","2 hours","40/10/5/-1.25/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"41",599.039583333333,703,619,2934.13622075557,690.197886356174,1.68607168083119,3,50,4.89806734377831,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"33",599.039583333333,670,592,3100.63293263431,690.197886356174,1.64203048011917,3,50,5.1760067596551,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"22",599.039583333333,626,575,2211.51436006778,1384.09607287831,1.89999658069001,3,50,3.69176665715793,"SEQ","AUDCAD","2 hours","40/10/5/-1.3/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"7",599.039583333333,625,569,2011.51725747796,366.811979875525,1.81499588975901,3,50,3.35790374032539,"SEQ","AUDCAD","2 hours","40/12/5/-1.2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
