"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"13",25.84375,26,22,123.676709999994,272.067650000003,1.5146985550573,3,10,4.78555588875431,"SEQ","AUDCAD","15 mins","40/10/2/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"12",25.84375,25,21,132.60223,178.50675,1.44151519509686,3,10,5.13092062877873,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"39",25.84375,18,17,100.079630000003,20.3230899999992,0.872617853560682,2,10,3.87248870616698,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/120/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",25.84375,18,17,104.0407,32.8871800000002,1.09632474433975,1,10,4.02575864570739,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",25.84375,18,17,102.884309999999,33.2890600000002,1.10987047789192,1,10,3.98101320435303,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"37",25.84375,17,16,92.7449299999989,28.5384600000004,0.862674290299926,2,10,3.58867927448605,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/90/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"38",25.84375,17,16,99.3999099999978,20.538269999999,0.881454902048182,2,10,3.84618756952833,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/105/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"14",25.84375,19,15,99.690210000002,253.903330000003,1.44267526509989,3,10,3.85742045949222,"SEQ","AUDCAD","30 mins","40/10/3/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"40",25.84375,16,15,86.7538200000004,31.1650400000013,0.702197017058143,2,10,3.35685881499397,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/135/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",25.84375,16,15,89.4058,50.6884,1.69008074206336,1,10,3.45947472793229,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",25.84375,15,14,78.514179999996,50.6884,1.69008074206336,1,10,3.03803356710988,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/75/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",25.84375,14,13,74.4658799999988,19.9409600000003,0.625618117367295,2,10,2.88138834340987,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/150/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"6",25.84375,13,10,55.319739999999,257.732560000003,1.45796173404386,3,10,2.14054616686816,"SEQ","AUDCAD","2 hours","40/5/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
