"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",24.8736111111111,71,60,99.7653051081941,58.2135058782301,1.07211582516264,3,50,4.01088947891561,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","10/60/1/5/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"35",24.8736111111111,56,51,213.192034089596,59.0517461973323,1.82175017317017,2,50,8.57101259391977,"SEQ","AUDCAD","30 mins/EMA/1 hour/EMA","40/60/4/5/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"106",24.8736111111111,53,51,142.098844680564,51.7878035379688,1.77475190399261,2,50,5.71283534368228,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/60/1/5/120/5/5/30/1.5/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"36",24.8736111111111,55,50,212.418270964281,59.0517461973323,1.82175017317017,2,50,8.53990480173557,"SEQ","AUDCAD","1 hour/EMA/1 hour/EMA","40/60/5/5/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"28",24.8736111111111,52,49,89.4929041859425,17.0809649644498,1.07211582516264,2,50,3.59790557897586,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/85/1/5/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"24",24.8736111111111,50,48,75.2761050403503,16.5986807605208,1.07211582516264,2,50,3.02634405209963,"SEQ","AUDCAD","1 min/EMA/1 hour/EMA","40/65/1/5/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"47",24.8736111111111,52,48,170.583422324889,49.4662062070429,1.82175017317017,2,50,6.8580079331018,"SEQ","AUDCAD","1 min/McGuinley/1 hour/EMA","40/60/1/12/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"50",24.8736111111111,52,48,170.583422324889,49.4662062070429,1.82175017317017,2,50,6.8580079331018,"SEQ","AUDCAD","1 min/Smooth_MA/1 hour/EMA","40/60/1/16/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"54",24.8736111111111,52,48,179.973411029974,107.264036025207,1.82175017317017,2,50,7.23551599428118,"SEQ","AUDCAD","1 min/Vida/1 hour/EMA","40/60/1/21/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"57",24.8736111111111,52,48,170.583422324889,49.4662062070429,1.82175017317017,2,50,6.8580079331018,"SEQ","AUDCAD","1 min/Wilders/1 hour/EMA","40/60/1/24/120/5/5/30/2/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
