"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"1",599.686805555556,2019,1625,5199.52616567039,1912.14889992669,3.48267589131283,5,50,8.67040281277075,"SEQ","EURGBP","1 min/EMA/1 hour/EMA","10/60/1/5/120/5/5/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"41",599.686805555556,1244,1127,4461.96156670755,2012.53288169104,6.0885037020031,2,50,7.44048647622644,"SEQ","EURGBP","1 min/EMA/1 hour/Butterworth3Pole","40/60/1/5/120/5/3/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",599.686805555556,1225,1123,5261.71955661147,1980.00658506574,3.18686897174122,3,50,8.77411259988781,"SEQ","EURGBP","1 min/EMA/1 hour/Hull","40/60/1/5/120/5/8/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"18",599.686805555556,1222,1114,4703.89220554721,2146.88303719934,3.50208867369221,3,50,7.84391479347204,"SEQ","EURGBP","1 min/Hull/1 hour/EMA","40/60/1/8/120/5/5/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"40",599.686805555556,1204,1098,4940.34855480503,1657.14695491561,6.0885037020031,3,50,8.23821452971313,"SEQ","EURGBP","1 min/EMA/1 hour/Butterworth2Pole","40/60/1/5/120/5/2/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"15",599.686805555556,1204,1097,5376.48528729958,1884.66498284234,3.70022472444502,4,50,8.96548871426102,"SEQ","EURGBP","1 min/DEMA/1 hour/EMA","40/60/1/4/120/5/5/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",599.686805555556,1202,1092,5687.67119241733,2319.35571383959,3.46543886233827,4,50,9.48440275778324,"SEQ","EURGBP","1 min/TEMA/1 hour/EMA","40/60/1/19/120/5/5/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"39",599.686805555556,1185,1085,5908.46363359679,1657.14695491561,6.0885037020031,3,50,9.85258234608503,"SEQ","EURGBP","1 min/EMA/1 hour/ALMA","40/60/1/5/120/5/1/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"45",599.686805555556,1191,1085,4990.12587146259,1657.14695491561,6.0885037020031,3,50,8.32122005225659,"SEQ","EURGBP","1 min/EMA/1 hour/SuperSmooter","40/60/1/5/120/5/17/30/2/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"53",599.686805555556,1192,1078,6209.66671617133,2292.12120541833,4.47612841949484,4,50,10.3548496625979,"SEQ","EURGBP","1 min/EMA/1 hour/EMA","40/60/1/5/120/5/5/30/1.5/15/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
