,nDays,NEntries,NWonEntries,Profit,MaxDDMoney,MaxPercentDD,MaxNConsLostEntries,Perc_OfBal_ToEntry,ProfitPerDay,OptMethod,Ticker,TFs,ParValues,ParNames
36,25.84375,34,25,205.21006,67.19286,2.489983476,2,10,7.940413446,SEQ,AUDCAD,1 hour/EMA/1 hour/EMA,40/60/5/5/120/5/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
99,25.84375,32,24,-14.20248,59.83645,2.73532782,2,10,-0.549551826,SEQ,AUDCAD,1 min/EMA/1 hour/EMA,40/60/1/5/120/5/5/10/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
84,25.84375,26,23,101.59868,56.5171,2.502744983,2,10,3.931266941,SEQ,AUDCAD,1 min/EMA/1 hour/Hull,40/60/1/5/120/5/8/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
44,25.84375,25,20,130.43098,184.20788,1.656255183,2,10,5.046906119,SEQ,AUDCAD,1 min/Hull/1 hour/EMA,40/60/1/8/120/5/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
71,25.84375,26,20,-30.56138,770.34352,2.502744983,3,10,-1.182544329,SEQ,AUDCAD,1 min/EMA/5 mins/EMA,40/60/1/5/120/2/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
72,25.84375,26,20,-61.76781,317.95346,2.502744983,3,10,-2.390048271,SEQ,AUDCAD,1 min/EMA/15 mins/EMA,40/60/1/5/120/3/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
100,25.84375,24,20,-1.79265,65.31968,2.73532782,2,10,-0.069364933,SEQ,AUDCAD,1 min/EMA/1 hour/EMA,40/60/1/5/120/5/5/20/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
34,25.84375,22,19,144.32193,40.7509,2.460991865,2,10,5.584403579,SEQ,AUDCAD,15 mins/EMA/1 hour/EMA,40/60/3/5/120/5/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
35,25.84375,22,19,144.32193,40.7509,2.460991865,2,10,5.584403579,SEQ,AUDCAD,30 mins/EMA/1 hour/EMA,40/60/4/5/120/5/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
62,25.84375,25,19,-64.15918,390.38106,2.502744983,3,10,-2.482580121,SEQ,AUDCAD,1 min/EMA/1 hour/EMA,40/60/1/5/40/5/5/30/2/30/1,ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs
