"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"62",599.223611111111,1487,1359,4966.8650844658,2244.8754396964,2.77829113534158,3,50,8.28883407190179,"SEQ","AUDNZD","1 min/EMA/15 mins/EMA","40/60/1/5/120/3/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"1",599.223611111111,1480,1315,4457.73929818206,3729.20161004217,4.67108497350836,3,50,7.43919167323245,"SEQ","AUDNZD","1 min/EMA/1 hour/EMA","30/60/1/5/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"80",599.223611111111,1371,1259,4107.47694556918,3729.20161004217,4.80454545454546,3,50,6.85466471848945,"SEQ","AUDNZD","1 min/EMA/1 hour/EMA","40/60/1/5/120/5/5/5/30/10/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"35",599.223611111111,1363,1236,4443.71090490992,3565.64054853676,4.78377100458282,3,50,7.4157807244447,"SEQ","AUDNZD","1 min/Butterworth2Pole/1 hour/EMA","40/60/1/2/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"36",599.223611111111,1363,1234,4032.16087731316,3643.38354202623,4.49867574725691,3,50,6.72897529828059,"SEQ","AUDNZD","1 min/Butterworth3Pole/1 hour/EMA","40/60/1/3/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"50",599.223611111111,1338,1214,4387.75520609972,3565.64054853676,4.78377100458282,3,50,7.32240039400938,"SEQ","AUDNZD","1 min/SuperSmooter/1 hour/EMA","40/60/1/17/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"42",599.223611111111,1326,1206,4216.46428424363,3708.77906823096,4.78377100458282,3,50,7.03654563348271,"SEQ","AUDNZD","1 min/Jurik/1 hour/EMA","40/60/1/9/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"48",599.223611111111,1318,1198,3558.41751838239,4125.94588332669,4.49867574725691,3,50,5.9383800177436,"SEQ","AUDNZD","1 min/Sine_WMA/1 hour/EMA","40/60/1/15/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"53",599.223611111111,1318,1196,3588.9877131971,4125.94588332669,4.49867574725691,3,50,5.98939635663257,"SEQ","AUDNZD","1 min/TRIMA/1 hour/EMA","40/60/1/20/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
"34",599.223611111111,1308,1191,4134.23283928727,3708.77906823096,4.698847813029,3,50,6.89931565216758,"SEQ","AUDNZD","1 min/ALMA/1 hour/EMA","40/60/1/1/120/5/5/5/30/30/1.5","ReEntExt/MeanFast_Len/MeanFast_TF/MeanFast_Type/MeanSlow_Len/MeanSlow_TF/MeanSlow_Type/RSI_Len/RSI_Thres/ExitBB_Len/ExitBB_SDs"
