"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxPercentDD","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"16",25.84375,32,25,278.300869999999,134.91398,1.26349567135742,2,10,10.7685947279323,"SEQ","AUDCAD","5 mins","40/10/1/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"17",25.84375,26,22,168.929579999998,223.084089999999,1.35639387463599,3,10,6.53657383313173,"SEQ","AUDCAD","15 mins","40/10/2/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"18",25.84375,20,16,163.679379999995,179.099140000001,1.2722195132763,3,10,6.33342220072532,"SEQ","AUDCAD","30 mins","40/10/3/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"19",25.84375,20,16,185.573310000003,189.92834,1.30393840358943,3,10,7.18058756952853,"SEQ","AUDCAD","1 hour","40/10/4/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"32",25.84375,18,16,184.27531,19.8002999999992,0.625511450895112,2,10,7.13036266021767,"SEQ","AUDCAD","2 hours","40/10/5/-1.05/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"33",25.84375,18,16,181.190420000004,31.2005000000004,0.680310230431276,2,10,7.01099569528431,"SEQ","AUDCAD","2 hours","40/10/5/-1/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"34",25.84375,18,16,178.459850000003,32.5825600000005,0.686988680936901,2,10,6.90533881499408,"SEQ","AUDCAD","2 hours","40/10/5/-0.95/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"6",25.84375,19,15,158.399190000004,186.377570000001,1.31049838818668,3,10,6.12911013301103,"SEQ","AUDCAD","2 hours","40/3/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"31",25.84375,16,15,107.88053,19.2363599999998,0.641334693740254,1,10,4.17433731559855,"SEQ","AUDCAD","2 hours","40/10/5/-1.1/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"35",25.84375,17,15,189.997979999999,84.6656799999996,0.931133956316901,2,10,7.35179608222486,"SEQ","AUDCAD","2 hours","40/10/5/-0.9/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"1",25.84375,22,14,86.1079599999971,83.5168300000014,0.717692684883877,4,10,3.33186785973387,"SEQ","AUDCAD","2 hours","10/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"7",25.84375,18,14,147.543670000007,153.56411,1.13855782675278,3,10,5.70906582829531,"SEQ","AUDCAD","2 hours","40/6/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"2",25.84375,15,12,107.117570000001,71.0225400000014,0.717692684883877,3,10,4.14481528415966,"SEQ","AUDCAD","2 hours","20/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"37",25.84375,12,11,79.9350299999996,29.4379100000008,0.717692684883877,2,10,3.09301204353082,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/30/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"39",25.84375,12,11,91.6284499999942,29.4379100000008,0.717692684883877,2,10,3.54547811366362,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/60/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"40",25.84375,12,11,98.4596799999945,29.4379100000008,0.717692684883877,2,10,3.80980623941938,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/75/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"41",25.84375,12,11,94.589879999995,29.4379100000008,0.717692684883877,2,10,3.66006790810138,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/90/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"42",25.84375,12,11,100.477469999995,29.4379100000008,0.717692684883877,2,10,3.88788275695266,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/105/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"43",25.84375,12,11,69.1785599999989,29.4379100000008,0.717692684883877,2,10,2.67680038694071,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"44",25.84375,12,11,73.4741999999956,29.4379100000008,0.717692684883877,2,10,2.84301620314372,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"45",25.84375,12,11,72.2180899999953,29.4379100000008,0.717692684883877,2,10,2.79441218863343,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"3",25.84375,13,10,126.949580000004,99.9944400000018,0.874827263406591,3,10,4.91219656590099,"SEQ","AUDCAD","2 hours","30/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"4",25.84375,11,10,81.9244699999977,29.4379100000008,0.717692684883877,2,10,3.1699915840386,"SEQ","AUDCAD","2 hours","40/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"5",25.84375,11,10,81.9244699999977,29.4379100000008,0.717692684883877,2,10,3.1699915840386,"SEQ","AUDCAD","2 hours","50/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"8",25.84375,11,10,81.9244699999977,29.4379100000008,0.717692684883877,2,10,3.1699915840386,"SEQ","AUDCAD","2 hours","40/9/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"26",25.84375,11,10,77.0314500000009,26.4176800000003,0.837253896407949,2,10,2.98066070133014,"SEQ","AUDCAD","2 hours","40/10/5/-1.35/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
