"","Ticker","NameCriticalNews"
"1","XAUUSD","USD_Prelim UoM Inflation Expectations"
"2","XAUUSD","USD_Prelim UoM Consumer Sentiment"
"3","XAUUSD","USD_New Home Sales"
"4","XAUUSD","USD_Unemployment Claims"
"5","XAUUSD","USD_Prelim GDP Price Index q/q"
"6","XAUUSD","USD_FOMC Member Mester Speaks"
"7","XAUUSD","USD_Crude Oil Inventories"
"8","XAUUSD","USD_Natural Gas Storage"
"9","XAUUSD","USD_Prelim GDP q/q"
"10","XAUUSD","USD_President Biden Speaks"
"11","XAUUSD","USD_FOMC Member Waller Speaks"
"12","XAUUSD","USD_Core Durable Goods Orders m/m"
"13","XAUUSD","USD_Fed Monetary Policy Report"
"14","XAUUSD","USD_Revised UoM Consumer Sentiment"
"15","XAUUSD","USD_Durable Goods Orders m/m"
"16","XAUUSD","USD_Core PCE Price Index m/m"
"17","XAUUSD","USD_Revised UoM Inflation Expectations"
"18","XAUUSD","USD_Pending Home Sales m/m"
"19","XAUUSD","USD_Personal Income m/m"
"20","XAUUSD","USD_Personal Spending m/m"
"21","XAUUSD","USD_Final Manufacturing PMI"
"22","XAUUSD","USD_ISM Manufacturing Prices"
"23","XAUUSD","USD_Wards Total Vehicle Sales"
"24","XAUUSD","USD_ISM Manufacturing PMI"
"25","XAUUSD","USD_Construction Spending m/m"
"26","XAUUSD","USD_Unemployment Rate"
"27","XAUUSD","USD_Average Hourly Earnings m/m"
"28","XAUUSD","USD_Non-Farm Employment Change"
"29","XAUUSD","USD_Consumer Credit m/m"
"30","XAUUSD","USD_IBD/TIPP Economic Optimism"
"31","XAUUSD","USD_Final Wholesale Inventories m/m"
"32","XAUUSD","USD_Trade Balance"
"33","XAUUSD","USD_NFIB Small Business Index"
"34","XAUUSD","USD_10-y Bond Auction"
"35","XAUUSD","USD_JOLTS Job Openings"
"36","XAUUSD","USD_Core PPI m/m"
"37","XAUUSD","USD_Empire State Manufacturing Index"
"38","XAUUSD","USD_TIC Long-Term Purchases"
"39","XAUUSD","USD_PPI m/m"
"40","XAUUSD","USD_Goods Trade Balance"
"41","XAUUSD","USD_Prelim Wholesale Inventories m/m"
"42","XAUUSD","USD_S&P/CS Composite-20 HPI y/y"
"43","XAUUSD","USD_FOMC Member Williams Speaks"
"44","XAUUSD","USD_CB Consumer Confidence"
"45","XAUUSD","USD_HPI m/m"
"46","XAUUSD","USD_30-y Bond Auction"
"47","XAUUSD","USD_Treasury Sec Yellen Speaks"
"48","XAUUSD","USD_Philly Fed Manufacturing Index"
"49","XAUUSD","USD_Existing Home Sales"
"50","XAUUSD","USD_CB Leading Index m/m"
"51","XAUUSD","USD_CPI m/m"
"52","XAUUSD","USD_Treasury Currency Report"
"53","XAUUSD","USD_Core CPI m/m"
"54","XAUUSD","USD_Federal Budget Balance"
"55","XAUUSD","USD_CPI y/y"
"56","XAUUSD","USD_FOMC Member Brainard Speaks"
"57","XAUUSD","USD_Building Permits"
"58","XAUUSD","USD_Housing Starts"
"59","XAUUSD","USD_Factory Orders m/m"
"60","XAUUSD","USD_FOMC Meeting Minutes"
"61","XAUUSD","USD_ISM Services PMI"
"62","XAUUSD","USD_Final Services PMI"
"63","XAUUSD","USD_Beige Book"
"64","XAUUSD","USD_Retail Sales m/m"
"65","XAUUSD","USD_Business Inventories m/m"
