"","currency","event","actual","forecast","previous","impact","DateUTC"
"1","CHF","Bank Holiday","","","","grey","2021-01-01 08:00:00"
"2","EUR","French Bank Holiday","","","","grey","2021-01-01 08:00:00"
"3","EUR","German Bank Holiday","","","","grey","2021-01-01 08:00:00"
"4","EUR","Italian Bank Holiday","","","","grey","2021-01-01 08:00:00"
"5","GBP","Bank Holiday","","","","grey","2021-01-01 08:00:00"
"6","CAD","Bank Holiday","","","","grey","2021-01-01 08:00:00"
"7","USD","Bank Holiday","","","","grey","2021-01-01 08:00:00"
"8","NZD","Bank Holiday","","","","grey","2021-01-03 08:00:00"
"9","JPY","Final Manufacturing PMI","50.0","49.7","49.7","yellow","2021-01-03 15:30:00"
"10","CNY","Caixin Manufacturing PMI","53.0","54.7","54.9","yellow","2021-01-03 16:45:00"
"11","AUD","Commodity Prices y/y","11.7%","","2.5%","yellow","2021-01-03 20:30:00"
"12","EUR","Spanish Manufacturing PMI","51.0","52.6","49.8","yellow","2021-01-03 23:15:00"
"13","CHF","Manufacturing PMI","58.0","54.4","55.2","yellow","2021-01-03 23:30:00"
"14","EUR","Italian Manufacturing PMI","52.8","53.5","51.5","yellow","2021-01-03 23:45:00"
"15","EUR","French Final Manufacturing PMI","51.1","51.1","51.1","yellow","2021-01-03 23:50:00"
"16","EUR","German Final Manufacturing PMI","58.3","58.6","58.6","yellow","2021-01-03 23:55:00"
"17","EUR","Final Manufacturing PMI","55.2","55.5","55.5","yellow","2021-01-04 00:00:00"
"18","GBP","Final Manufacturing PMI","57.5","57.3","57.3","orange","2021-01-04 00:30:00"
"19","GBP","M4 Money Supply m/m","0.8%","0.4%","0.7%","yellow","2021-01-04 08:00:00"
"20","GBP","Mortgage Approvals","105K","82K","98K","yellow","2021-01-04 08:00:00"
"21","GBP","Net Lending to Individuals m/m","4.1B","3.0B","3.8B","yellow","2021-01-04 08:00:00"
"22","All","OPEC-JMMC Meetings","","","","red","2021-01-04 08:00:00"
"23","CAD","Manufacturing PMI","57.9","","55.8","orange","2021-01-04 05:30:00"
"24","USD","Final Manufacturing PMI","57.1","56.3","56.5","yellow","2021-01-04 05:45:00"
"25","USD","Construction Spending m/m","0.9%","1.1%","1.6%","yellow","2021-01-04 06:00:00"
"26","USD","FOMC Member Bostic Speaks","","","","yellow","2021-01-04 08:00:00"
