"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"7",721.709027777778,774,560,19475.9559606917,6000,5,4.52919015498399,26.9858837995423,"SEQ","AUDUSD","2 hours","40/6/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"36",721.709027777778,663,495,9819.45641391959,6000,4,6.33473130717713,13.6058384140694,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/15/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"44",721.709027777778,654,483,8051.22798006755,6000,5,5.00687923928249,11.1557811669035,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"43",721.709027777778,650,479,8388.62566514751,6000,5,5.00687923928249,11.6232793858448,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"45",721.709027777778,645,479,9907.47938051298,6000,4,6.33473130717713,13.7278030330578,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"37",721.709027777778,630,459,11453.9671419515,6000,4,6.33473130717713,15.8706164134035,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/30/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"39",721.709027777778,624,451,10318.2278014747,6000,5,5.00687923928249,14.2969360287007,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/60/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"4",721.709027777778,620,446,10976.1005807138,6000,5,5.00687923928249,15.2084845252809,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"8",721.709027777778,620,446,10976.1005807138,6000,5,5.00687923928249,15.2084845252809,"SEQ","AUDUSD","2 hours","40/9/5/-1.2/45/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
"41",721.709027777778,618,446,12638.4403138955,6000,4,6.33473130717713,17.5118223930366,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/90/2.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/ExitBB_Len/ExitBB_SDs"
