"","nDays","NEntries","NWonEntries","Profit","MaxDDMoney","MaxNConsLostEntries","Perc_OfBal_ToEntry","ProfitPerDay","OptMethod","Ticker","TFs","ParValues","ParNames"
"12",721.709027777778,1321,1114,15316.32258,5635.78066000003,4,10,21.2222959537595,"SEQ","AUDUSD","5 mins","40/10/1/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"13",721.709027777778,1233,1051,14569.9065200001,4114.60323999998,4,10,20.1880618909015,"SEQ","AUDUSD","15 mins","40/10/2/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"6",721.709027777778,731,610,7231.21278554512,6000,4,6.60558611826916,10.0195681461971,"SEQ","AUDUSD","2 hours","40/5/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"30",721.709027777778,693,571,5325.95759322113,6000,5,3.50655449959356,7.37964662797741,"SEQ","AUDUSD","2 hours","40/10/5/-0.95/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"15",721.709027777778,666,564,6719.08331216429,6000,4,6.60558611826916,9.3099615683804,"SEQ","AUDUSD","1 hour","40/10/4/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"29",721.709027777778,655,545,5012.74975854117,6000,5,3.50544402321634,6.94566586478208,"SEQ","AUDUSD","2 hours","40/10/5/-1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"28",721.709027777778,630,531,5838.22119524216,6000,5,4.21385135204348,8.08943905443263,"SEQ","AUDUSD","2 hours","40/10/5/-1.05/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"27",721.709027777778,591,502,4472.36172395237,6000,4,6.57355203909085,6.19690422568672,"SEQ","AUDUSD","2 hours","40/10/5/-1.1/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"43",721.709027777778,563,470,3292.13638524913,6000,4,6.24833787053088,4.56158404362209,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/1.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"44",721.709027777778,544,456,3490.46580661991,6000,4,6.45249150360922,4.83638928193463,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"26",721.709027777778,528,448,4187.86767586844,6000,4,6.60558611826916,5.80270928404948,"SEQ","AUDUSD","2 hours","40/10/5/-1.15/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"42",721.709027777778,514,430,5439.71754,3764.36968000002,3,10,7.53727240568057,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/1/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"32",721.709027777778,488,411,6927.89514999993,4056.02783000002,4,10,9.59929124252705,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/15/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"4",721.709027777778,478,410,3815.42062013106,6000,4,6.60558611826916,5.28664665852825,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"54",721.709027777778,475,407,4067.74453083285,6000,4,6.60558611826916,5.63626665909652,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/1","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"33",721.709027777778,478,405,4292.57674719905,6000,4,8.4686587599938,5.94779416909384,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/30/2.5/15/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"48",721.709027777778,471,403,4189.39956413388,6000,4,6.60558611826916,5.80483186836876,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/30/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"56",721.709027777778,466,396,4431.90894122033,6000,4,6.60558611826916,6.14085285155247,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/15/2","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
"49",721.709027777778,462,392,4239.24126115247,6000,4,6.60558611826916,5.87389252176264,"SEQ","AUDUSD","2 hours","40/10/5/-1.2/45/2.5/45/1.5","ReEntExt/RelMM_Len/RelMM_TF/RelMM_Thres/EntryBB_Len/Entry_SDs/ExitBB_Len/ExitBB_SDs"
